group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day01.2: ,,,,,975184.0,ns,12
Day01.2: ,,,,,1978225.0,ns,24
Day01.2: ,,,,,2943641.0,ns,36
Day01.2: ,,,,,3927542.0,ns,48
Day01.2: ,,,,,4915621.0,ns,60
Day01.2: ,,,,,5921101.0,ns,72
Day01.2: ,,,,,6853531.0,ns,84
Day01.2: ,,,,,7891627.0,ns,96
Day01.2: ,,,,,8838788.0,ns,108
Day01.2: ,,,,,9953925.0,ns,120
Day01.2: ,,,,,11048584.0,ns,132
Day01.2: ,,,,,11906166.0,ns,144
Day01.2: ,,,,,12838573.0,ns,156
Day01.2: ,,,,,13850737.0,ns,168
Day01.2: ,,,,,14832417.0,ns,180
Day01.2: ,,,,,15802832.0,ns,192
Day01.2: ,,,,,16776168.0,ns,204
Day01.2: ,,,,,18077116.0,ns,216
Day01.2: ,,,,,18728057.0,ns,228
Day01.2: ,,,,,19761695.0,ns,240
Day01.2: ,,,,,20868532.0,ns,252
Day01.2: ,,,,,21559869.0,ns,264
Day01.2: ,,,,,22835061.0,ns,276
Day01.2: ,,,,,23114668.0,ns,288
Day01.2: ,,,,,24625079.0,ns,300
Day01.2: ,,,,,25683501.0,ns,312
Day01.2: ,,,,,26756575.0,ns,324
Day01.2: ,,,,,27777117.0,ns,336
Day01.2: ,,,,,28985633.0,ns,348
Day01.2: ,,,,,29665756.0,ns,360
Day01.2: ,,,,,30477377.0,ns,372
Day01.2: ,,,,,31554800.0,ns,384
Day01.2: ,,,,,32581864.0,ns,396
Day01.2: ,,,,,33555319.0,ns,408
Day01.2: ,,,,,34611070.0,ns,420
Day01.2: ,,,,,35750265.0,ns,432
Day01.2: ,,,,,36498076.0,ns,444
Day01.2: ,,,,,37486468.0,ns,456
Day01.2: ,,,,,38479352.0,ns,468
Day01.2: ,,,,,39936807.0,ns,480
Day01.2: ,,,,,40714743.0,ns,492
Day01.2: ,,,,,41448343.0,ns,504
Day01.2: ,,,,,42448140.0,ns,516
Day01.2: ,,,,,43339923.0,ns,528
Day01.2: ,,,,,44432556.0,ns,540
Day01.2: ,,,,,45674101.0,ns,552
Day01.2: ,,,,,46342531.0,ns,564
Day01.2: ,,,,,47695902.0,ns,576
Day01.2: ,,,,,48358413.0,ns,588
Day01.2: ,,,,,49657043.0,ns,600
Day01.2: ,,,,,50317157.0,ns,612
Day01.2: ,,,,,51344493.0,ns,624
Day01.2: ,,,,,52477257.0,ns,636
Day01.2: ,,,,,53143438.0,ns,648
Day01.2: ,,,,,54056617.0,ns,660
Day01.2: ,,,,,55278386.0,ns,672
Day01.2: ,,,,,56282831.0,ns,684
Day01.2: ,,,,,57251616.0,ns,696
Day01.2: ,,,,,58541156.0,ns,708
Day01.2: ,,,,,59251379.0,ns,720
Day01.2: ,,,,,60613175.0,ns,732
Day01.2: ,,,,,61695845.0,ns,744
Day01.2: ,,,,,62013875.0,ns,756
Day01.2: ,,,,,63060998.0,ns,768
Day01.2: ,,,,,64370637.0,ns,780
Day01.2: ,,,,,65228432.0,ns,792
Day01.2: ,,,,,66160327.0,ns,804
Day01.2: ,,,,,67386124.0,ns,816
Day01.2: ,,,,,68285176.0,ns,828
Day01.2: ,,,,,69227801.0,ns,840
Day01.2: ,,,,,70274969.0,ns,852
Day01.2: ,,,,,70903096.0,ns,864
Day01.2: ,,,,,72205852.0,ns,876
Day01.2: ,,,,,73517908.0,ns,888
Day01.2: ,,,,,73506333.0,ns,900
Day01.2: ,,,,,75059291.0,ns,912
Day01.2: ,,,,,76522158.0,ns,924
Day01.2: ,,,,,77415282.0,ns,936
Day01.2: ,,,,,78584377.0,ns,948
Day01.2: ,,,,,79823333.0,ns,960
Day01.2: ,,,,,80746835.0,ns,972
Day01.2: ,,,,,81945704.0,ns,984
Day01.2: ,,,,,82708480.0,ns,996
Day01.2: ,,,,,84109232.0,ns,1008
Day01.2: ,,,,,84916994.0,ns,1020
Day01.2: ,,,,,86090127.0,ns,1032
Day01.2: ,,,,,85739490.0,ns,1044
Day01.2: ,,,,,87781996.0,ns,1056
Day01.2: ,,,,,88967759.0,ns,1068
Day01.2: ,,,,,89901478.0,ns,1080
Day01.2: ,,,,,91103375.0,ns,1092
Day01.2: ,,,,,91083897.0,ns,1104
Day01.2: ,,,,,92138850.0,ns,1116
Day01.2: ,,,,,93683584.0,ns,1128
Day01.2: ,,,,,95420908.0,ns,1140
Day01.2: ,,,,,96207540.0,ns,1152
Day01.2: ,,,,,96333749.0,ns,1164
Day01.2: ,,,,,97275059.0,ns,1176
Day01.2: ,,,,,99073644.0,ns,1188
Day01.2: ,,,,,99770226.0,ns,1200
